badword,type,replacement_word,replacement_word_type
cooties,noun,,
cottonpicker,verb,,
crazymofos,noun,,
crazysob,noun,,
creampie,noun,,
crotch,noun,,
crotchfiddler,verb,,
crotchy,noun,,
crow,noun,,
crows,noun,,
cuksuker,verb,,
cuksukka,noun,,
cumball,noun,,
cumdumpster,verb,,
cumgoon,noun,,
cumming,verb,,
cums,noun,,
cumslut,noun,,
cumz,noun,,
cunnilingus,noun,,
cunt,noun,rude person,contextual
cuntasaurusrex,noun,,
cuntass,noun,,
cuntbag,noun,,
cuntbollock,noun,,
cuntelope,noun,,
cuntfart,noun,,
cuntits,noun,,
cuntless,noun,,
cuntlick,noun,,
cuntlicker,verb,,
cuntlickers,noun,,
cuntlips,noun,,
cuntness,noun,,
cunts,noun,,
cunty,noun,,
cuntz,noun,,
cuunt,noun,,
cyberfck,noun,,
cyberfcks,noun,,
cyberfuccs,noun,,
cyberfucks,noun,,
cyberfucs,noun,,
cyberfukk,noun,,
cyberfukks,noun,,
cyberfvcks,noun,,
d0ggystyle,noun,,
d1ck,noun,,
d1ckhead,noun,,
d1ckheads,noun,,
d1cks,noun,,
d1cksucker,verb,,
d1cksukka,noun,,
d1ckz,noun,,
d1ldo,noun,,
dafuq,noun,,
dago,noun,,
darkass,noun,,
darkfuck,noun,,
darkie,noun,,
darkshit,noun,,
darktard,noun,,
darky,noun,,
dck,noun,,
dcks,noun,,
dickbreath,noun,,
dickface,noun,,
dickfucker,verb,,
dickgobbler,verb,,
dickhead,noun,,
dickheads,noun,,
dickjockies,noun,,
dickless,noun,,
dicklicker,verb,,
dickmilker,verb,,
dickmuncher,verb,,
dicknibbler,verb,,
dicks,noun,,
dickskin,noun,,
dickslapper,verb,,
dicksmoker,verb,,
dicksucker,verb,,
dickvag,noun,,
dickz,noun,,
diddle,noun,,
dikhead,noun,,
diks,noun,,
dild0,noun,,
dipsh1t,noun,,
dipsh1tty,noun,,
dipshat,noun,,
dipshidiot,noun,,
dipshit,noun,,
dipshite,noun,,
dipshits,noun,,
dipshitter,verb,,
dipshitty,noun,,
dipstick,noun,,
dirtysanchez,noun,,
dix,noun,,
dlck,noun,,
dlcks,noun,,
dld0,noun,,
dldo,noun,,
dogfuck,noun,,
dogfucker,verb,,
dogfucking,verb,,
doggostyle,noun,,
doggystyle,noun,,
dogiestyle,noun,,
dogsbollocks,noun,,
dogsh1t,noun,,
dogsh1ts,noun,,
dogshit,noun,,
dogshits,noun,,
dogstyle,noun,,
dolt,noun,,
dong,noun,,
doosh,noun,,
dothead,noun,,
doubledick,noun,,
doubledicking,verb,,
doubledong,noun,,
doublepen,noun,,
douche,noun,,
douchebag,noun,,
douchecanoe,noun,,
dumasses,noun,,
dumbarrassed,verb,,
dumbass,noun,,
dumbasses,noun,,
dumbassfucker,verb,,
dumbassmofoes,noun,,
dumbassmothafuckers,noun,,
dumbasssonofabitch,noun,,
dumbbastard,noun,,
dumbfucker,verb,,
dumbfucks,noun,,
dumbshit,noun,,
dumbss,noun,,
dumpaload,noun,,
dunecoon,noun,,
dyke,noun,,
erectoplasm,noun,,
f0ck,noun,,
f0cked,verb,,
f0cker,verb,,
f0ckers,noun,,
facefuck,noun,,
fack,noun,,
fackuhs,noun,,
fag,noun,,
fag0t,noun,,
fagasses,noun,,
fagbag,noun,,
faget,noun,,
fagg0t,noun,,
fagging,verb,,
faggo,noun,,
faggot,noun,,
faggoting,verb,,
faggotmofoes,noun,,
faggotmothafuckers,noun,,
faggotnobjockies,noun,,
faggotnobjokeys,noun,,
faggots,noun,,
faggotsonofabitch,noun,,
faggs,noun,,
faggy,noun,,
faghag,noun,,
fagot,noun,,
fagqueen,noun,,
fags,noun,,
fagshit,noun,,
fartfucker,verb,,
fatass,noun,,
fatasses,noun,,
fccuker,verb,,
fck,noun,,
fcka,noun,,
fckahz,noun,,
fcked,verb,,
fckedup,noun,,
fcker,verb,,
fckerbunny,noun,,
fckin,noun,,
fcking,verb,,
fckk,noun,,
fckked,verb,,
fckking,verb,,
fcks,noun,,
fcktard,noun,,
fckyeah,noun,,
fckyou,noun,,
fcuk,noun,,
fcuked,verb,,
fcuker,verb,,
fcukers,noun,,
fcuking,verb,,
fcukker,verb,,
fcuks,noun,,
fcvking,verb,,
feck,noun,,
feckarse,noun,,
fecker,verb,,
fed,verb,,
feg,noun,,
fellatioaficionado,noun,,
fellator,noun,,
fer,verb,,
fg,noun,,
fgg0t,noun,,
fgging,verb,,
fggot,noun,,
fgs,noun,,
fgshit,noun,,
fick,noun,,
finger,verb,,
fingerbanged,verb,,
fingerfuck,noun,,
fingerpop,noun,,
fk,noun,,
fkbny,noun,,
fkbunny,noun,,
fked,verb,,
fker,verb,,
fking,verb,,
fkings,noun,,
fkker,verb,,
flamer,verb,,
flamers,noun,,
focker,verb,,
fook,noun,,
fooker,verb,,
fookuh,noun,,
forked,verb,,
fothermuckers,noun,,
fuc,noun,,
fucc,noun,,
fucca,noun,,
fuccers,noun,,
fuccing,verb,,
fuccs,noun,,
fuck,noun,,
fucka,noun,,
fuckahs,noun,,
fuckarse,noun,,
fuckass,noun,,
fuckasses,noun,,
fuckaz,noun,,
fuckbag,noun,,
fuckboy,noun,,
fucked,verb,,
fuckedup,noun,,
fuckem,noun,,
fucker,verb,,
fuckeroff,noun,,
fuckers,noun,,
fuckface,noun,,
fuckfaces,noun,,
fuckgoblin,noun,,
fuckhead,noun,,
fuckheaded,verb,,
fuckheads,noun,,
fuckin,noun,,
fucking,verb,,
fuckinga,noun,,
fuckingasshole,noun,,
fuckingbastard,noun,,
fuckinghell,noun,,
fuckingme,noun,,
fuckingretard,noun,,
fuckingshit,noun,,
fuckk,noun,,
fuckless,noun,,
fuckmachine,noun,,
fucknuckle,noun,,
fuckoff,noun,,
fucks,noun,,
fuckshit,noun,,
fuckshitface,noun,,
fuckshithead,noun,,
fuckstar,noun,,
fuckster,verb,,
fuckstick,noun,,
fucktard,noun,,
fucktards,noun,,
fuckup,noun,,
fuckwad,noun,,
fuckwhore,noun,,
fucky0u,noun,,
fuckyou,noun,,
fuckyour,noun,,
fuckyourmother,verb,,
fucs,noun,,
fucx,noun,,
fudgefucker,verb,,
fudgepacker,verb,,
fudgepackers,noun,,
fudgepackershitter,verb,,
fudgepackingfucker,verb,,
fugged,verb,,
fugger,verb,,
fuggerz,noun,,
fuggings,noun,,
fugly,noun,,
fuk,noun,,
fuk1n,noun,,
fuk1ng,noun,,
fukcs,noun,,
fuker,verb,,
fukheads,noun,,
fukin,noun,,
fuking,verb,,
fukk,noun,,
fukka,noun,,
fukked,verb,,
fukker,verb,,
fukkers,noun,,
fukking,verb,,
fukkings,noun,,
fukkuh,noun,,
fuks,noun,,
fuku,noun,,
fukwhore,noun,,
fukwit,noun,,
fullofshit,noun,,
funbags,noun,,
fuq,noun,,
futhamucka,noun,,
fux,noun,,
fux0r,noun,,
fvck,noun,,
fvcka,noun,,
fvckbunny,noun,,
fvcker,verb,,
fvckers,noun,,
fvckin,noun,,
fvcking,verb,,
fvckkerbunny,noun,,
fvckwhi,noun,,
fvckyou,noun,,
fxck,noun,,
fxcked,verb,,
fxcker,verb,,
fxcking,verb,,
g0ddamn,noun,,
g0ddamned,verb,,
g0ddamnit,noun,,
gashstabber,verb,,
gayass,noun,,
gaybitch,noun,,
gayest,verb,,
gayfuck,noun,,
gayfucker,verb,,
gaylord,noun,,
gaylords,noun,,
gayness,noun,,
gayshit,noun,,
