badword,replacement_word,type
cuntfart,,noun
cuntits,,noun
cuntless,,noun
cuntlick,,noun
cuntlicker,,noun
cuntlickers,,noun
cuntlips,,noun
cuntness,,noun
cunts,,noun
cunty,,noun
cuntz,,noun
cuunt,,noun
cyberfck,,noun
cyberfcks,,noun
cyberfuccs,,noun
cyberfucks,,noun
cyberfucs,,noun
cyberfukk,,noun
cyberfukks,,noun
cyberfvcks,,noun
d0ggystyle,,noun
d1ck,,noun
d1ckhead,,noun
d1ckheads,,noun
d1cks,,noun
d1cksucker,,noun
d1cksukka,,noun
d1ckz,,noun
d1ldo,,noun
dafuq,,noun
dago,wop,noun
darkass,,noun
darkfuck,,noun
darkie,darky,noun
darkshit,,noun
darktard,,noun
darky,darkie,noun
dck,,noun
dcks,,noun
dickbreath,,noun
dickface,,noun
dickfucker,,noun
dickgobbler,,noun
dickhead,prick,noun
dickheads,prick,noun
dickjockies,,noun
dickless,,noun
dicklicker,,noun
dickmilker,,noun
dickmuncher,,noun
dicknibbler,,noun
dicks,gumshoe,noun
dickskin,,noun
dickslapper,,noun
dicksmoker,,noun
dicksucker,,noun
dickvag,,noun
dickz,,noun
diddle,victimize,verb
dikhead,,noun
diks,,noun
dild0,,noun
dipsh1t,,noun
dipsh1tty,,noun
dipshat,,noun
dipshidiot,,noun
dipshit,,noun
dipshite,,noun
dipshits,,noun
dipshitter,,noun
dipshitty,,noun
dipstick,,noun
dirtysanchez,,noun
dix,,noun
dlck,,noun
dlcks,,noun
dld0,,noun
dldo,,noun
dogfuck,,noun
dogfucker,,noun
dogfucking,,noun
doggostyle,,noun
doggystyle,,noun
dogiestyle,,noun
dogsbollocks,,noun
dogsh1t,,noun
dogsh1ts,,noun
dogshit,bull,noun
dogshits,bull,noun
dogstyle,,noun
dolt,stupid,noun
dong,,noun
doosh,,noun
dothead,,noun
doubledick,,noun
doubledicking,,noun
doubledong,,noun
doublepen,,noun
douche,,noun
douchebag,,noun
douchecanoe,,noun
dumasses,,noun
dumbarrassed,,noun
dumbass,dunce,noun
dumbasses,dunce,noun
dumbassfucker,,noun
dumbassmofoes,,noun
dumbassmothafuckers,,noun
dumbasssonofabitch,,noun
dumbbastard,,noun
dumbfucker,,noun
dumbfucks,,noun
dumbshit,,noun
dumbss,,noun
dumpaload,,noun
dunecoon,,noun
dyke,butch,noun
erectoplasm,,noun
f0ck,,noun
f0cked,,noun
f0cker,,noun
f0ckers,,noun
facefuck,,noun
fack,,noun
fackuhs,,noun
fag,,verb
fag0t,,noun
fagasses,,noun
fagbag,,noun
faget,,noun
fagg0t,,noun
fagging,fag,verb
faggo,,noun
faggot,fagot,verb
faggoting,fagot,verb
faggotmofoes,,noun
faggotmothafuckers,,noun
faggotnobjockies,,noun
faggotnobjokeys,,noun
faggots,fagot,verb
faggotsonofabitch,,noun
faggs,,noun
faggy,,noun
faghag,,noun
fagot,,verb
fagqueen,,noun
fags,fag,verb
fagshit,,noun
fartfucker,,noun
fatass,,noun
fatasses,,noun
fccuker,,noun
fck,,noun
fcka,,noun
fckahz,,noun
fcked,,noun
fckedup,,noun
fcker,,noun
fckerbunny,,noun
fckin,,noun
fcking,,noun
fckk,,noun
fckked,,noun
fckking,,noun
fcks,,noun
fcktard,,noun
fckyeah,,noun
fckyou,,noun
fcuk,,noun
fcuked,,noun
fcuker,,noun
fcukers,,noun
fcuking,,noun
fcukker,,noun
fcuks,,noun
fcvking,,noun
feck,,noun
feckarse,,noun
fecker,,noun
fed,feed,verb
feg,,noun
fellatioaficionado,,noun
fellator,,noun
fer,,noun
fg,,noun
fgg0t,,noun
fgging,,noun
fggot,,noun
fgs,,noun
fgshit,,noun
fick,,noun
finger,thumb,verb
fingerbanged,,noun
fingerfuck,,noun
fingerpop,,noun
fk,,noun
fkbny,,noun
fkbunny,,noun
fked,,noun
fker,,noun
fking,,noun
fkings,,noun
fkker,,noun
flamer,,noun
flamers,,noun
focker,,noun
fook,,noun
fooker,,noun
fookuh,,noun
forked,pitchfork,verb
fothermuckers,,noun
fuc,,noun
fucc,,noun
fucca,,noun
fuccers,,noun
fuccing,,noun
fuccs,,noun
fuck,screw,noun
fucka,,noun
fuckahs,,noun
fuckarse,,noun
fuckass,,noun
fuckasses,,noun
fuckaz,,noun
fuckbag,,noun
fuckboy,,noun
fucked,love,verb
fuckedup,,noun
fuckem,,noun
fucker,,noun
fuckeroff,,noun
fuckers,,noun
fuckface,,noun
fuckfaces,,noun
fuckgoblin,,noun
fuckhead,dunce,noun
fuckheaded,,noun
fuckheads,dunce,noun
fuckin,,noun
fucking,screw,noun
fuckinga,,noun
fuckingasshole,,noun
fuckingbastard,,noun
fuckinghell,,noun
fuckingme,,noun
fuckingretard,,noun
fuckingshit,,noun
fuckk,,noun
fuckless,,noun
fuckmachine,,noun
fucknuckle,,noun
fuckoff,,noun
fucks,screw,noun
fuckshit,,noun
fuckshitface,,noun
fuckshithead,,noun
fuckstar,,noun
fuckster,,noun
fuckstick,,noun
fucktard,,noun
fucktards,,noun
fuckup,bungler,noun
fuckwad,,noun
fuckwhore,,noun
fucky0u,,noun
fuckyou,,noun
fuckyour,,noun
fuckyourmother,,noun
fucs,,noun
fucx,,noun
fudgefucker,,noun
fudgepacker,,noun
fudgepackers,,noun
fudgepackershitter,,noun
fudgepackingfucker,,noun
fugged,,noun
fugger,,noun
fuggerz,,noun
fuggings,,noun
fugly,,noun
fuk,,noun
fuk1n,,noun
fuk1ng,,noun
fukcs,,noun
fuker,,noun
fukheads,,noun
fukin,,noun
fuking,,noun
fukk,,noun
fukka,,noun
fukked,,noun
fukker,,noun
fukkers,,noun
fukking,,noun
fukkings,,noun
fukkuh,,noun
fuks,,noun
fuku,,noun
fukwhore,,noun
fukwit,,noun
fullofshit,,noun
funbags,,noun
fuq,,noun
futhamucka,,noun
fux,,noun
fux0r,,noun
fvck,,noun
fvcka,,noun
fvckbunny,,noun
fvcker,,noun
fvckers,,noun
fvckin,,noun
fvcking,,noun
fvckkerbunny,,noun
fvckwhi,,noun
fvckyou,,noun
fxck,,noun
fxcked,,noun
fxcker,,noun
fxcking,,noun
g0ddamn,,noun
g0ddamned,,noun
g0ddamnit,,noun
gashstabber,,noun
gayass,,noun
gaybitch,,noun
gayest,cheery,noun
gayfuck,,noun
gayfucker,,noun
gaylord,,noun
gaylords,,noun
gayness,homosexuality,noun
gayshit,,noun
gaysian,,noun
gaytard,,noun
gaywad,,noun
geebag,,noun
getfucked,,noun
ginjockey,,noun
girlieboy,,noun
girlybits,,noun
girlyboy,,noun
gobshite,,noun
godamnit,,noun
goddam,blasted,noun
goddammit,,noun
goddamn,,noun
goddamned,blasted,noun
goddamnit,,noun
goddamnmothafuckers,,noun
goddamnsonofabitch,,noun
goddmnit,,noun
gofuckyourself,,noun
gook,sludge,noun
gotohell,,noun
gowl,,noun
greaser,wetback,noun
groid,,noun
groper,,noun
gyb1tch,,noun
gylord,,noun
gyp,bunco,noun
gyshit,,noun
harrypalms,,noun
heeb,,noun
higg,,noun
higg3r,,noun
higga,,noun
higger,,noun
higgers,,noun
hoar,frost,noun
hoe,,noun
hoeasses,,noun
hoebag,,noun
hoes,hoe,noun
holyfuck,,noun
homo,gay,noun
homoasses,,noun
homos,homophile,noun
hooters,beak,noun
horsesasses,,noun
horseshit,bull,noun
hustler,streetwalker,noun
injun,Redskin,noun
j3rk,,noun
ja1lbait,,noun
jackarse,,noun
jackass,fathead,noun
jackasses,fathead,noun
jackasss,fathead,noun
jackoff,,noun
