badword,replacement_word,type
twt,,noun
upskirts,,noun
uselessfucker,,noun
vag,,noun
vajayjay,,noun
vulva,,noun
w4nk3r,,noun
w4nker,,noun
wang,,noun
wangwrangler,,noun
wank,hand_job,noun
wank3r,,noun
wank3rs,,noun
wankbastard,,noun
wanked,masturbate,verb
wanker,tosser,noun
wankers,tosser,noun
wankies,,noun
wanking,masturbate,verb
wankoff,,noun
wanks,hand_job,noun
we1back,,noun
weenie,frank,noun
weiner,,noun
wetback,greaser,noun
wetbacks,greaser,noun
wh0r3,,noun
wh0re,,noun
whackoff,,noun
whatthefuck,,noun
whoar,,noun
whoars,,noun
whor3,,noun
whore,,verb
whores,,verb
wigger,,noun
willywhacker,,noun
windowlicker,,noun
wiseass,,noun
wnker,,noun
wnkers,,noun
wop,dago,noun
wophead,,noun
zipinthewire,,noun
zipperhead,,noun
